"filename", "language", "C", "C++", "Markdown", "Python", "comment", "blank", "total"
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\infix_evaluator.h", "C++", 0, 101, 0, 0, 18, 8, 127
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\judgeFunction.h", "C++", 0, 27, 0, 0, 7, 3, 37
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\main.c", "C", 14, 0, 0, 0, 0, 1, 15
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\postfix_evaluator.h", "C++", 0, 209, 0, 0, 27, 10, 246
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\prefix.c", "C", 238, 0, 0, 0, 21, 11, 270
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\prefix_evaluator.h", "C++", 0, 203, 0, 0, 14, 9, 226
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\shuting_yard.cpp", "C++", 0, 244, 0, 0, 51, 11, 306
"d:\workstation\VSCode_for_c\c_programming\Experimentation Six Stack Implementation and Expression Calculation\stack.h", "C++", 0, 25, 0, 0, 0, 1, 26
"d:\workstation\VSCode_for_c\c_programming\README.md", "Markdown", 0, 0, 3, 0, 0, 1, 4
"d:\workstation\VSCode_for_c\c_programming\TransposeMatrix\header.h", "C++", 0, 202, 0, 0, 2, 3, 207
"d:\workstation\VSCode_for_c\c_programming\TransposeMatrix\main.c", "C", 51, 0, 0, 0, 0, 2, 53
"d:\workstation\VSCode_for_c\c_programming\algorithm\calculator.c", "C", 12, 0, 0, 0, 0, 1, 13
"d:\workstation\VSCode_for_c\c_programming\algorithm\full_memery.c", "C", 14, 0, 0, 0, 0, 1, 15
"d:\workstation\VSCode_for_c\c_programming\algorithm\hanoit.cpp", "C++", 0, 25, 0, 0, 5, 2, 32
"d:\workstation\VSCode_for_c\c_programming\algorithm\sqstack.c", "C", 37, 0, 0, 0, 4, 1, 42
"d:\workstation\VSCode_for_c\c_programming\algorithm\sqstack.h", "C++", 0, 16, 0, 0, 0, 3, 19
"d:\workstation\VSCode_for_c\c_programming\algorithm\二分查找.c", "C", 57, 0, 0, 0, 0, 0, 57
"d:\workstation\VSCode_for_c\c_programming\algorithm\埃拉托斯特质数筛.c", "C", 30, 0, 0, 0, 1, 3, 34
"d:\workstation\VSCode_for_c\c_programming\algorithm\希尔排序.cpp", "C++", 0, 48, 0, 0, 2, 3, 53
"d:\workstation\VSCode_for_c\c_programming\algorithm\归并sort迭代.h", "C++", 0, 7, 0, 0, 0, 0, 7
"d:\workstation\VSCode_for_c\c_programming\algorithm\改进插入(选择)排序.h", "C++", 0, 24, 0, 0, 6, 1, 31
"d:\workstation\VSCode_for_c\c_programming\algorithm\逆波兰表达式.c", "C", 0, 0, 0, 0, 0, 1, 1
"d:\workstation\VSCode_for_c\c_programming\genericity泛型\堆栈的泛型模拟.c", "C", 9, 0, 0, 0, 1, 2, 12
"d:\workstation\VSCode_for_c\c_programming\leetcode\13. Roman to Intege.c", "C", 51, 0, 0, 0, 0, 1, 52
"d:\workstation\VSCode_for_c\c_programming\leetcode\14. Longest Common Prefix.c", "C", 47, 0, 0, 0, 0, 2, 49
"d:\workstation\VSCode_for_c\c_programming\leetcode\1734. Decode XORed Permutation.c", "C", 29, 0, 0, 0, 4, 1, 34
"d:\workstation\VSCode_for_c\c_programming\leetcode\1_hash.c", "C", 82, 0, 0, 0, 5, 1, 88
"d:\workstation\VSCode_for_c\c_programming\leetcode\2.c", "C", 99, 0, 0, 0, 7, 6, 112
"d:\workstation\VSCode_for_c\c_programming\leetcode\20. Valid Parentheses.c", "C", 84, 0, 0, 0, 1, 7, 92
"d:\workstation\VSCode_for_c\c_programming\leetcode\203.c", "C", 78, 0, 0, 0, 1, 2, 81
"d:\workstation\VSCode_for_c\c_programming\leetcode\204 countPrimes.c", "C", 28, 0, 0, 0, 0, 1, 29
"d:\workstation\VSCode_for_c\c_programming\leetcode\205.c", "C", 29, 0, 0, 0, 8, 0, 37
"d:\workstation\VSCode_for_c\c_programming\leetcode\205太慢了不能过.c", "C", 29, 0, 0, 0, 0, 0, 29
"d:\workstation\VSCode_for_c\c_programming\leetcode\206.c", "C", 29, 0, 0, 0, 35, 0, 64
"d:\workstation\VSCode_for_c\c_programming\leetcode\206太慢了不能过.c", "C", 29, 0, 0, 0, 0, 1, 30
"d:\workstation\VSCode_for_c\c_programming\leetcode\21.合并两个有序链表.cpp", "C++", 0, 38, 0, 0, 7, 1, 46
"d:\workstation\VSCode_for_c\c_programming\leetcode\3.c", "C", 31, 0, 0, 0, 0, 1, 32
"d:\workstation\VSCode_for_c\c_programming\leetcode\7.Reverse Integer.c", "C", 23, 0, 0, 0, 0, 1, 24
"d:\workstation\VSCode_for_c\c_programming\leetcode\9.Palindrome Number.c", "C", 35, 0, 0, 0, 0, 2, 37
"d:\workstation\VSCode_for_c\c_programming\leetcode\print.cpp", "C++", 0, 6, 0, 0, 0, 0, 6
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\creat_printList.h", "C++", 0, 43, 0, 0, 0, 1, 44
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\create_and_delet.c", "C", 69, 0, 0, 0, 3, 5, 77
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\delet_note.h", "C++", 0, 34, 0, 0, 1, 4, 39
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\help.c", "C", 78, 0, 0, 0, 0, 4, 82
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\list_head.h", "C++", 0, 73, 0, 0, 2, 7, 82
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\list_reverse.c", "C", 22, 0, 0, 0, 2, 2, 26
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\list_sort.h", "C++", 0, 31, 0, 0, 3, 2, 36
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\创建链表.c", "C", 60, 0, 0, 0, 2, 1, 63
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\删除链表重复元素.c", "C", 83, 0, 0, 0, 2, 8, 93
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\快慢指针查中点.h", "C++", 0, 13, 0, 0, 1, 1, 15
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\结构体.c", "C", 32, 0, 0, 0, 11, 3, 46
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表反转.c", "C", 78, 0, 0, 0, 3, 6, 87
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表插入.c", "C", 42, 0, 0, 0, 2, 5, 49
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表插入最终优化.c", "C", 26, 0, 0, 0, 2, 1, 29
"d:\workstation\VSCode_for_c\c_programming\list\Singly_linked_list\链表插入特殊处理.c", "C", 28, 0, 0, 0, 2, 1, 31
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双向链表插入极简版.c", "C", 28, 0, 0, 0, 0, 4, 32
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双向链表插入简明版.c", "C", 51, 0, 0, 0, 3, 3, 57
"d:\workstation\VSCode_for_c\c_programming\list\双向链表\双链表的插入.c", "C", 35, 0, 0, 0, 13, 3, 51
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\MM.c", "C", 27, 0, 0, 0, 0, 2, 29
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\MM2.c", "C", 27, 0, 0, 0, 0, 3, 30
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\backup.c", "C", 164, 0, 0, 0, 13, 5, 182
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\ccfpolan.cpp", "C++", 0, 177, 0, 0, 13, 6, 196
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\help.c", "C", 10, 0, 0, 0, 7, 2, 19
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\leetcode14test.c", "C", 47, 0, 0, 0, 0, 2, 49
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\new.c", "C", 175, 0, 0, 0, 13, 7, 195
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\new2.c", "C", 164, 0, 0, 0, 13, 5, 182
"d:\workstation\VSCode_for_c\c_programming\tests_for_grammer\test.py", "Python", 0, 0, 0, 26, 0, 5, 31
"d:\workstation\VSCode_for_c\c_programming\tree\tree_api.h", "C++", 0, 4, 0, 0, 3, 1, 8
"d:\workstation\VSCode_for_c\c_programming\tree\tree_array.c", "C", 64, 0, 0, 0, 7, 2, 73
"d:\workstation\VSCode_for_c\c_programming\tree\动态链式二叉树.c", "C", 50, 0, 0, 0, 3, 1, 54
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\11.2动态分配缓冲区.c", "C", 18, 0, 0, 0, 3, 1, 22
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\11.a.c", "C", 14, 0, 0, 0, 2, 0, 16
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\alloc.h", "C++", 0, 3, 0, 0, 1, 0, 4
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\check_memory_fault.c", "C", 0, 0, 0, 0, 0, 1, 1
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\memory_check_real.c", "C", 13, 0, 0, 0, 2, 3, 18
"d:\workstation\VSCode_for_c\c_programming\动态分配\memory_give_out\内存分配实例.c", "C", 42, 0, 0, 0, 4, 2, 48
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\invcreat.c", "C", 26, 0, 0, 0, 7, 1, 34
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\invdelet.c", "C", 20, 0, 0, 0, 2, 1, 23
"d:\workstation\VSCode_for_c\c_programming\动态分配\存货系统\inventor.h", "C++", 0, 29, 0, 0, 4, 2, 35
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack.h", "C++", 0, 6, 0, 0, 3, 6, 15
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack_malloc.c", "C", 48, 0, 0, 0, 2, 8, 58
"d:\workstation\VSCode_for_c\c_programming\堆栈\stack_malloc.h", "C++", 0, 8, 0, 0, 5, 7, 20
"d:\workstation\VSCode_for_c\c_programming\堆栈\static_stack.c", "C", 61, 0, 0, 0, 7, 11, 79
"d:\workstation\VSCode_for_c\c_programming\堆栈\链表实现堆栈正规方式.c", "C", 72, 0, 0, 0, 1, 15, 88
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\list_header.h", "C++", 0, 490, 0, 0, 41, 27, 558
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\main.c", "C", 20, 0, 0, 0, 0, 1, 21
"d:\workstation\VSCode_for_c\c_programming\实验四、五 链表的实现和应用\polyCalculator.c", "C", 171, 0, 0, 0, 0, 2, 173
"d:\workstation\VSCode_for_c\c_programming\简单链表实验作业\list_header.h", "C++", 0, 143, 0, 0, 2, 9, 154
"d:\workstation\VSCode_for_c\c_programming\简单链表实验作业\list_insertnddelet.c", "C", 74, 0, 0, 0, 0, 3, 77
"d:\workstation\VSCode_for_c\c_programming\队列\queue_api.h", "C++", 0, 8, 0, 0, 6, 1, 15
"d:\workstation\VSCode_for_c\c_programming\队列\静态数组实现队列.c", "C", 32, 0, 0, 0, 3, 4, 39
"d:\workstation\VSCode_for_c\c_programming\顺序表实验\sequenceList.c", "C", 106, 0, 0, 0, 0, 2, 108
"d:\workstation\VSCode_for_c\c_programming\顺序表实验\sequenceTable.h", "C++", 0, 174, 0, 0, 1, 2, 177
"Total", "-", 3242, 2411, 3, 26, 447, 316, 6445